",""Date"",""Minimum temperature (°C)"",""Maximum temperature (°C)"",""Rainfall (mm)"",""Evaporation (mm)"",""Sunshine (hours)"",""Direction of maximum wind gust "",""Speed of maximum wind gust (km/h)"",""Time of maximum wind gust"",""9am Temperature (°C)"",""9am relative humidity (%)"",""9am cloud amount (oktas)"",""9am wind direction"",""9am wind speed (km/h)"",""9am MSL pressure (hPa)"",""3pm Temperature (°C)"",""3pm relative humidity (%)"",""3pm cloud amount (oktas)"",""3pm wind direction"",""3pm wind speed (km/h)"",""3pm MSL pressure (hPa)"""
,2020-04-1,10.1,25.8,0,,,N,31,13:35,14.4,99,, ,Calm,1019.5,24.8,37,,NNE,20,1017.1
,2020-04-2,13.8,20.0,1.4,,,NNW,37,17:10,16.1,98,8,NNE,9,1014.9,16.8,99,7,NNW,19,1010.4
,2020-04-3,11.3,16.9,20.0,,,NW,28,23:44,13.4,90,7,NNW,13,1009.9,16.7,79,8,N,9,1007.0
,2020-04-4,12.8,16.6,8.2,,,WNW,72,10:13,14.7,95,8,NNW,30,998.1,15.8,56,,WNW,43,1000.9
,2020-04-5,9.0,14.3,1.4,,,NW,56,13:02,10.6,62,8,NW,26,1013.4,12.2,62,8,NW,30,1012.9
,2020-04-6,10.3,18.5,0,,,NNW,39,03:43,13.5,81,8,NW,17,1018.9,18.0,50,,WNW,20,1017.4
,2020-04-7,6.1,18.0,0,,,ENE,28,19:53,13.2,64,,E,7,1023.2,16.9,56,8,WSW,7,1020.0
,2020-04-8,12.2,18.9,0,,,ENE,35,15:19,14.6,73,8,E,13,1022.7,17.0,62,7,ENE,22,1021.8
,2020-04-9,10.3,20.5,0,,,E,35,12:29,15.1,72,8,ESE,11,1028.3,20.0,54,5,E,20,1024.3
,2020-04-10,12.5,18.5,12.0,,,NW,56,14:12,13.8,99,8,SW,7,1018.8,12.8,89,8,NNW,24,1013.5
,2020-04-11,11.1,17.0,2.0,,,WNW,76,12:43,15.2,69,,NW,33,1003.3,15.1,49,8,W,43,1002.6
,2020-04-12,0.6,17.1,0,,,N,28,15:43,8.4,70,,NNW,7,1017.2,15.9,45,,NNW,15,1015.3
,2020-04-13,3.4,17.4,0,,,N,19,13:28,9.5,86,8,S,7,1022.2,17.0,55,8,NNW,9,1019.7
,2020-04-14,3.7,20.3,0,,,NNW,19,13:16,10.5,87,,SW,7,1025.9,18.8,60,8,WNW,9,1023.5
,2020-04-15,7.1,24.4,0,,,NW,33,11:58,14.2,77,, ,Calm,1024.7,23.6,35,,NNW,24,1019.9
,2020-04-16,14.1,22.6,0,,,NW,56,14:39,18.5,70,,NW,28,1014.3,20.4,61,2,NW,35,1010.3
,2020-04-17,10.0,18.8,0,,,NW,54,12:49,14.6,57,,NNW,20,1012.2,17.9,44,,NW,33,1010.4
,2020-04-18,7.4,18.5,0,,,NNW,39,12:55,11.4,67,,SSW,7,1014.1,17.7,47,,NW,26,1010.9
,2020-04-19,1.3,17.9,0,,,N,26,11:51,10.4,76,, ,Calm,1015.2,17.1,33,,N,15,1013.0
,2020-04-20,7.7,18.2,0,,,NW,56,13:56,13.0,65,7,NNW,26,1015.0,17.8,49,,NW,31,1011.3
,2020-04-21,4.1,20.8,0,,,WNW,39,14:09,12.3,78,,SSW,6,1018.7,19.9,42,7,WNW,22,1015.1
,2020-04-22,6.5,20.7,0,,,WNW,48,16:00,15.6,58,,NW,20,1019.8,19.9,42,,WNW,30,1017.4
,2020-04-23,1.4,18.7,0,,,NW,39,17:18,9.6,78,, ,Calm,1021.4,17.9,49,4,NNW,20,1016.9
,2020-04-24,6.9,22.3,0,,,WNW,39,14:15,16.8,60,,WNW,15,1018.7,21.1,44,,WNW,26,1017.8
,2020-04-25,3.1,20.8,0,,,NNW,37,13:37,8.5,99,8,NE,6,1022.9,19.5,55,,NNW,26,1018.4
,2020-04-26,8.2,17.5,0,,,NW,52,08:55,16.7,67,8,NW,37,1014.7,14.9,82,8,NW,24,1014.3
,2020-04-27,7.2,18.5,0.4,,,N,24,00:19,10.8,89,8,NW,7,1024.5,18.0,45,,NNE,4,1022.5
