data;provincia;confirmados;muertes
03/03/2020;Buenos Aires;1;0
04/03/2020;Buenos Aires;1;0
05/03/2020;Buenos Aires;2;0
06/03/2020;Buenos Aires;6;0
07/03/2020;Buenos Aires;7;1
08/03/2020;Buenos Aires;9;1
09/03/2020;Buenos Aires;10;1
10/03/2020;Buenos Aires;11;1
11/03/2020;Buenos Aires;12;1
12/03/2020;Buenos Aires;15;1
13/03/2020;Buenos Aires;17;1
14/03/2020;Buenos Aires;26;1
15/03/2020;Buenos Aires;32;1
16/03/2020;Buenos Aires;37;1
17/03/2020;Buenos Aires;40;1
18/03/2020;Buenos Aires;53;2
19/03/2020;Buenos Aires;67;2
20/03/2020;Buenos Aires;80;2
21/03/2020;Buenos Aires;113;2
22/03/2020;Buenos Aires;127;2
23/03/2020;Buenos Aires;141;2
24/03/2020;Buenos Aires;174;2
25/03/2020;Buenos Aires;211;3
26/03/2020;Buenos Aires;262;4
27/03/2020;Buenos Aires;285;5
28/03/2020;Buenos Aires;304;6
29/03/2020;Buenos Aires;338;6
30/03/2020;Buenos Aires;366;6
31/03/2020;Buenos Aires;387;7
01/04/2020;Buenos Aires;399;8
02/04/2020;Buenos Aires;440;8
03/04/2020;Buenos Aires;472;8
04/04/2020;Buenos Aires;520;8
05/04/2020;Buenos Aires;564;9
06/04/2020;Buenos Aires;588;14
07/04/2020;Buenos Aires;622;16
08/04/2020;Buenos Aires;648;18
09/04/2020;Buenos Aires;674;23
10/04/2020;Buenos Aires;708;24
11/04/2020;Buenos Aires;749;26
12/04/2020;Buenos Aires;772;27
13/04/2020;Buenos Aires;785;28
14/04/2020;Buenos Aires;806;30
15/04/2020;Buenos Aires;841;34
16/04/2020;Buenos Aires;863;37
17/04/2020;Buenos Aires;880;38
18/04/2020;Buenos Aires;905;48
19/04/2020;Buenos Aires;919;49
20/04/2020;Buenos Aires;954;50
21/04/2020;Buenos Aires;1001;50
22/04/2020;Buenos Aires;1044;58
23/04/2020;Buenos Aires;1095;59
24/04/2020;Buenos Aires;1202;63
25/04/2020;Buenos Aires;1260;69
26/04/2020;Buenos Aires;1303;69
27/04/2020;Buenos Aires;1347;73
